latitude,longitude,depth_m
18.54719302,73.95746459,1.756580706
18.54719354,73.95755934,1.759131436
18.54719406,73.95765408,1.753527712
18.54719459,73.95774882,1.751614234
18.54719511,73.95784356,1.756287837
18.54719563,73.95793831,1.750377067
18.54719615,73.95803305,1.755808688
18.54719668,73.95812779,1.75989268
18.5471972,73.95822254,1.766252721
18.54719772,73.95831728,1.787244517
18.54719824,73.95841202,1.782497474
18.54719877,73.95850677,1.768269508
18.54719929,73.95860151,1.744941319
18.54719981,73.95869625,1.770185693
18.54720033,73.95879099,1.799334797
18.54720086,73.95888574,1.822816838
18.54720138,73.95898048,1.838090519
18.5472019,73.95907522,1.851497633
18.54720242,73.95916997,1.860231262
18.54710003,73.95699143,1.752138855
18.54710056,73.95708617,1.739940679
18.54710108,73.95718091,1.788507036
18.5471016,73.95727566,1.811373034
18.54710213,73.9573704,1.771565694
18.54710265,73.95746514,1.740306863
18.54710317,73.95755988,1.720113199
18.5471037,73.95765463,1.733626653
18.54710422,73.95774937,1.738706879
18.54710474,73.95784411,1.745427837
18.54710526,73.95793886,1.747329218
18.54710579,73.9580336,1.737495351
18.54710631,73.95812834,1.745126663
18.54710683,73.95822308,1.765492174
18.54710736,73.95831783,1.758892661
18.54710788,73.95841257,1.749966238
18.5471084,73.95850731,1.740361524
18.54710892,73.95860206,1.736190668
18.54710945,73.9586968,1.72439535
18.54710997,73.95879154,1.745611836
18.54711049,73.95888628,1.77708308
18.54711101,73.95898103,1.81016991
18.54711154,73.95907577,1.81967158
18.54711206,73.95917051,1.808322135
18.54711258,73.95926526,1.781039478
18.54700757,73.95661301,1.778640062
18.5470081,73.95670775,1.782512039
18.54700862,73.95680249,1.765598068
18.54700914,73.95689723,1.752710972
18.54700967,73.95699198,1.72869388
18.54701019,73.95708672,1.726282959
18.54701071,73.95718146,1.739673378
18.54701124,73.9572762,1.760341674
18.54701176,73.95737095,1.764158657
18.54701228,73.95746569,1.740370442
18.54701281,73.95756043,1.721221308
18.54701333,73.95765518,1.713236797
18.54701385,73.95774992,1.742360486
18.54701438,73.95784466,1.757421233
18.5470149,73.9579394,1.754053909
18.54701542,73.95803415,1.752111668
18.54701594,73.95812889,1.750604043
18.54701647,73.95822363,1.765870403
18.54701699,73.95831838,1.765537157
18.54701751,73.95841312,1.747590357
18.54701803,73.95850786,1.737551881
18.54701856,73.9586026,1.724538518
18.54701908,73.95869735,1.739146451
18.5470196,73.95879209,1.744618988
18.54702012,73.95888683,1.764542224
18.54702065,73.95898157,1.775965234
18.54702117,73.95907632,1.781053944
18.54702169,73.95917106,1.77395831
18.54702221,73.9592658,1.749130854
18.54702274,73.95936055,1.740320526
18.54702326,73.95945529,1.736211177
18.54702378,73.95955003,1.733283277
18.5470243,73.95964477,1.737209389
18.54702482,73.95973952,1.765593376
18.54702535,73.95983426,1.785128938
18.54702587,73.959929,1.776300549
18.54702639,73.96002375,1.79326761
18.54702691,73.96011849,1.800758646
18.54691668,73.95651881,1.753174313
18.54691721,73.95661355,1.765700851
18.54691773,73.9567083,1.772481746
18.54691825,73.95680304,1.772000706
18.54691878,73.95689778,1.729671631
18.5469193,73.95699253,1.711483288
18.54691982,73.95708727,1.722632132
18.54692035,73.95718201,1.743943358
18.54692087,73.95727675,1.751597279
18.54692139,73.9573715,1.740494338
18.54692192,73.95746624,1.744079271
18.54692244,73.95756098,1.730621905
18.54692296,73.95765572,1.74733956
18.54692349,73.95775047,1.758544192
18.54692401,73.95784521,1.756706226
18.54692453,73.95793995,1.76262844
18.54692506,73.95803469,1.76262844
18.54692558,73.95812944,1.76262844
18.5469261,73.95822418,1.76262844
18.54692662,73.95831892,1.76262844
18.54692715,73.95841367,1.76262844
18.54692767,73.95850841,1.743540881
18.54692819,73.95860315,1.751437905
18.54692871,73.95869789,1.74996988
18.54692924,73.95879264,1.76262844
18.54692976,73.95888738,1.76262844
18.54693028,73.95898212,1.759608305
18.5469308,73.95907686,1.766177373
18.54693133,73.95917161,1.77017454
18.54693185,73.95926635,1.751129976
18.54693237,73.95936109,1.736674669
18.54693289,73.95945584,1.73863247
18.54693341,73.95955058,1.745441661
18.54693394,73.95964532,1.749819483
18.54693446,73.95974006,1.75676971
18.54693498,73.95983481,1.753599535
18.5469355,73.95992955,1.748388409
18.54693602,73.96002429,1.758658759
18.54693654,73.96011904,1.750625386
18.54682213,73.95576142,1.864411603
18.54682265,73.95585616,1.836893783
18.54682318,73.95595091,1.82499147
18.54682684,73.9566141,1.757901377
18.54682737,73.95670885,1.768871967
18.54682789,73.95680359,1.766674855
18.54682841,73.95689833,1.75778768
18.54682894,73.95699307,1.72842995
18.54682946,73.95708782,1.729616467
18.54682998,73.95718256,1.741223909
18.54683051,73.9572773,1.758051763
18.54683103,73.95737204,1.765056251
18.54683155,73.95746679,1.742573323
18.54683207,73.95756153,1.76262844
18.5468326,73.95765627,1.76262844
18.54683312,73.95775102,1.76262844
18.54683364,73.95784576,1.76262844
18.54683417,73.9579405,1.76262844
18.54683469,73.95803524,1.76262844
18.54683521,73.95812999,1.76262844
18.54683573,73.95822473,1.76262844
18.54683626,73.95831947,1.76262844
18.54683678,73.95841421,1.76262844
18.5468373,73.95850896,1.76262844
18.54683782,73.9586037,1.76262844
18.54683835,73.95869844,1.76262844
18.54683887,73.95879318,1.76262844
18.54683939,73.95888793,1.76262844
18.54683991,73.95898267,1.76262844
18.54684044,73.95907741,1.76262844
18.54684096,73.95917216,1.76262844
18.54684148,73.9592669,1.76262844
18.546842,73.95936164,1.746139784
18.54684253,73.95945638,1.755159768
18.54684305,73.95955113,1.764435641
18.54684357,73.95964587,1.752425191
18.54684409,73.95974061,1.724934147
18.54684461,73.95983535,1.727900344
18.54684513,73.9599301,1.762490917
18.54684566,73.96002484,1.737784213
18.54684618,73.96011958,1.697755241
18.5468467,73.96021433,1.681716918
18.54684722,73.96030907,1.686376895
18.54673229,73.95585671,1.802788025
18.54673281,73.95595145,1.793204455
18.54673648,73.95661465,1.76262844
18.546737,73.95670939,1.76262844
18.54673752,73.95680414,1.76262844
18.54673805,73.95689888,1.76262844
18.54673857,73.95699362,1.76262844
18.54673909,73.95708837,1.743019855
18.54673962,73.95718311,1.756495508
18.54674014,73.95727785,1.76262844
18.54674066,73.95737259,1.76262844
18.54674119,73.95746734,1.76262844
18.54674171,73.95756208,1.76262844
18.54674223,73.95765682,1.76262844
18.54674275,73.95775156,1.76262844
18.54674328,73.95784631,1.76262844
18.5467438,73.95794105,1.76262844
18.54674432,73.95803579,1.76262844
18.54674485,73.95813053,1.76262844
18.54674537,73.95822528,1.76262844
18.54674589,73.95832002,1.76262844
18.54674641,73.95841476,1.76262844
18.54674694,73.9585095,1.76262844
18.54674746,73.95860425,1.76262844
18.54674798,73.95869899,1.76262844
18.5467485,73.95879373,1.76262844
18.54674903,73.95888847,1.76262844
18.54674955,73.95898322,1.76262844
18.54675007,73.95907796,1.76262844
18.54675059,73.9591727,1.76262844
18.54675111,73.95926745,1.76262844
18.54675164,73.95936219,1.76262844
18.54675216,73.95945693,1.76262844
18.54675268,73.95955167,1.76262844
18.5467532,73.95964642,1.76262844
18.54675372,73.95974116,1.74856394
18.54675425,73.9598359,1.741025655
18.54675477,73.95993064,1.743071519
18.54675529,73.96002539,1.742380262
18.54675581,73.96012013,1.726841253
18.54675633,73.96021487,1.714971224
18.54663458,73.95453087,1.875319134
18.54663511,73.95462561,1.881254803
18.54663563,73.95472035,1.863165034
18.54663615,73.95481509,1.890391403
18.54664192,73.95585726,1.761900383
18.54664244,73.955952,1.765367654
18.54664611,73.9566152,1.76262844
18.54664663,73.95670994,1.76262844
18.54664716,73.95680469,1.76262844
18.54664768,73.95689943,1.76262844
18.5466482,73.95699417,1.76262844
18.54664873,73.95708891,1.76262844
18.54664925,73.95718366,1.76262844
18.54664977,73.9572784,1.76262844
18.5466503,73.95737314,1.76262844
18.54665082,73.95746788,1.76262844
18.54665134,73.95756263,1.76262844
18.54665186,73.95765737,1.76262844
18.54665239,73.95775211,1.76262844
18.54665291,73.95784685,1.76262844
18.54665343,73.9579416,1.76262844
18.54665396,73.95803634,1.76262844
18.54665448,73.95813108,1.76262844
18.546655,73.95822582,1.76262844
18.54665552,73.95832057,1.76262844
18.54665605,73.95841531,1.76262844
18.54665657,73.95851005,1.76262844
18.54665709,73.95860479,1.76262844
18.54665761,73.95869954,1.745152968
18.54665814,73.95879428,1.753463742
18.54665866,73.95888902,1.748873995
18.54665918,73.95898377,1.76262844
18.5466597,73.95907851,1.76262844
18.54666023,73.95917325,1.76262844
18.54666075,73.95926799,1.76262844
18.54666127,73.95936274,1.76262844
18.54666179,73.95945748,1.76262844
18.54666231,73.95955222,1.76262844
18.54666284,73.95964696,1.76262844
18.54666336,73.95974171,1.76262844
18.54666388,73.95983645,1.76262844
18.5466644,73.95993119,1.742426252
18.54666492,73.96002593,1.753159751
18.54666545,73.96012068,1.762170366
18.54666649,73.96031016,1.727876976
18.54666701,73.9604049,1.76262844
18.54666805,73.96059439,1.76262844
18.54653687,73.95320502,1.833213841
18.54653739,73.95329977,1.83577331
18.54653792,73.95339451,1.839544146
18.54653844,73.95348925,1.831795187
18.54653897,73.95358399,1.833030506
18.54653949,73.95367874,1.832453906
18.54654002,73.95377348,1.844819836
18.54654054,73.95386822,1.850100966
18.54654107,73.95396296,1.855968217
18.54654159,73.9540577,1.863243818
18.54654212,73.95415245,1.858015417
18.54654264,73.95424719,1.838492738
18.54654317,73.95434193,1.83900707
18.54654369,73.95443667,1.843210716
18.54654422,73.95453142,1.854581986
18.54654474,73.95462616,1.841657356
18.54654526,73.9547209,1.843090698
18.54654579,73.95481564,1.840007192
18.54655103,73.95576307,1.76262844
18.54655155,73.95585781,1.761428431
18.54655208,73.95595255,1.753764122
18.54655574,73.95661575,1.76262844
18.54655627,73.95671049,1.76262844
18.54655679,73.95680524,1.76262844
18.54655731,73.95689998,1.76262844
18.54655784,73.95699472,1.743548576
18.54655836,73.95708946,1.752370911
18.54655888,73.9571842,1.76262844
18.54655941,73.95727895,1.749662733
18.54655993,73.95737369,1.753201508
18.54656045,73.95746843,1.752621857
18.54656098,73.95756317,1.76262844
18.5465615,73.95765792,1.76262844
18.54656202,73.95775266,1.76262844
18.54656254,73.9578474,1.76262844
18.54656307,73.95794214,1.76262844
18.54656359,73.95803689,1.76262844
18.54656411,73.95813163,1.76262844
18.54656464,73.95822637,1.743253959
18.54656516,73.95832111,1.759707496
18.54656568,73.95841586,1.75965463
18.5465662,73.9585106,1.768429796
18.54656673,73.95860534,1.754762896
18.54656725,73.95870009,1.742262064
18.54656777,73.95879483,1.725575455
18.54656829,73.95888957,1.748951779
18.54656882,73.95898431,1.751823052
18.54656934,73.95907906,1.75331196
18.54656986,73.9591738,1.746724617
18.54657038,73.95926854,1.76262844
18.5465709,73.95936328,1.76262844
18.54657143,73.95945803,1.76262844
18.54657195,73.95955277,1.76262844
18.54657247,73.95964751,1.76262844
18.54657299,73.95974225,1.76262844
18.54657351,73.959837,1.76262844
18.54657404,73.95993174,1.76262844
18.54657456,73.96002648,1.76262844
18.54657664,73.96040545,1.76262844
18.54657717,73.96050019,1.76262844
18.54657769,73.96059494,1.76262844
18.54657821,73.96068968,1.76262844
18.54657873,73.96078442,1.76262844
18.5464465,73.95320557,1.860500518
18.54644703,73.95330032,1.857081313
18.54644755,73.95339506,1.860488411
18.54644808,73.9534898,1.861644818
18.5464486,73.95358454,1.856029402
18.54644913,73.95367929,1.850840012
18.54644965,73.95377403,1.851935184
18.54645018,73.95386877,1.860366144
18.5464507,73.95396351,1.862094494
18.54645123,73.95405825,1.863129532
18.54645175,73.954153,1.834835684
18.54645228,73.95424774,1.787165285
18.5464528,73.95434248,1.776511035
18.54645332,73.95443722,1.781261349
18.54645385,73.95453197,1.797220766
18.54645437,73.95462671,1.804000265
18.5464549,73.95472145,1.79832748
18.54646066,73.95576362,1.76262844
18.54646119,73.95585836,1.76262844
18.54646171,73.9559531,1.76262844
18.54646538,73.9566163,1.76262844
18.5464659,73.95671104,1.76262844
18.54646642,73.95680578,1.76262844
18.54646695,73.95690053,1.741737851
18.54646747,73.95699527,1.739852953
18.54646799,73.95709001,1.741577719
18.54646852,73.95718475,1.74585442
18.54646904,73.9572795,1.744451675
18.54646956,73.95737424,1.732877505
18.54647009,73.95746898,1.759438856
18.54647061,73.95756372,1.756723115
18.54647113,73.95765847,1.761307425
18.54647166,73.95775321,1.759773829
18.54647218,73.95784795,1.757324827
18.5464727,73.95794269,1.753133591
18.54647322,73.95803744,1.759245126
18.54647375,73.95813218,1.74899229
18.54647427,73.95822692,1.749699495
18.54647479,73.95832166,1.745835117
18.54647531,73.95841641,1.766533134
18.54647584,73.95851115,1.758781692
18.54647636,73.95860589,1.758997266
18.54647688,73.95870063,1.746871208
18.5464774,73.95879538,1.74913747
18.54647793,73.95889012,1.746572256
18.54647845,73.95898486,1.743634716
18.54647897,73.9590796,1.731579639
18.54647949,73.95917435,1.74434071
18.54648002,73.95926909,1.745014027
18.54648054,73.95936383,1.760961591
18.54648106,73.95945857,1.76262844
18.54648158,73.95955332,1.76262844
18.5464821,73.95964806,1.76262844
18.54648263,73.9597428,1.76262844
18.54648315,73.95983754,1.76262844
18.54648367,73.95993229,1.76262844
18.54648628,73.960406,1.76262844
18.5464868,73.96050074,1.76262844
18.54648732,73.96059548,1.76262844
18.54648784,73.96069023,1.76262844
18.54648836,73.96078497,1.76262844
18.54648889,73.96087971,1.76262844
18.54635561,73.95311138,1.881240028
18.54635613,73.95320612,1.874855017
18.54635666,73.95330087,1.871039365
18.54635719,73.95339561,1.867729702
18.54635771,73.95349035,1.875069182
18.54635824,73.95358509,1.862205291
18.54635876,73.95367984,1.851062213
18.54635929,73.95377458,1.860164322
18.54635981,73.95386932,1.862955343
18.54636033,73.95396406,1.868423104
18.54636086,73.95405881,1.845814143
18.54636138,73.95415355,1.805039472
18.54636191,73.95424829,1.75130234
18.54636243,73.95434303,1.709433467
18.54636296,73.95443777,1.722472819
18.54636348,73.95453252,1.741243392
18.54636401,73.95462726,1.756284116
18.54636453,73.954722,1.755784471
18.54636506,73.95481674,1.756042152
18.54636558,73.95491149,1.76262844
18.5463703,73.95576417,1.76262844
18.54637082,73.95585891,1.76262844
18.54637135,73.95595365,1.76262844
18.54637501,73.95661685,1.76262844
18.54637553,73.95671159,1.76262844
18.54637606,73.95680633,1.741572732
18.54637658,73.95690107,1.743933911
18.5463771,73.95699582,1.754808598
18.54637763,73.95709056,1.739872691
18.54637815,73.9571853,1.727118647
18.54637867,73.95728004,1.730839783
18.5463792,73.95737479,1.752563049
18.54637972,73.95746953,1.752438882
18.54638024,73.95756427,1.762184988
18.54638077,73.95765901,1.765216319
18.54638129,73.95775376,1.760001217
18.54638181,73.9578485,1.752137473
18.54638233,73.95794324,1.742931516
18.54638286,73.95803798,1.733904601
18.54638338,73.95813273,1.756993923
18.5463839,73.95822747,1.772574702
18.54638443,73.95832221,1.774304716
18.54638495,73.95841695,1.774162705
18.54638547,73.9585117,1.790796367
18.54638599,73.95860644,1.774324787
18.54638652,73.95870118,1.793219799
18.54638704,73.95879592,1.782231888
18.54638756,73.95889067,1.777931739
18.54638808,73.95898541,1.750363846
18.54638861,73.95908015,1.764770278
18.54638913,73.95917489,1.749466863
18.54638965,73.95926964,1.743321611
18.54639017,73.95936438,1.748043102
18.54639069,73.95945912,1.758087677
18.54639122,73.95955386,1.757370682
18.54639174,73.9596486,1.76262844
18.54639226,73.95974335,1.76262844
18.54639278,73.95983809,1.76262844
18.54639591,73.96040654,1.76262844
18.54639643,73.96050129,1.76262844
18.54639696,73.96059603,1.76262844
18.54639748,73.96069077,1.76262844
18.546398,73.96078551,1.76262844
18.54639852,73.96088026,1.76262844
18.54639904,73.960975,1.76262844
18.54625999,73.95216451,1.81735677
18.54626051,73.95225925,1.770494786
18.54626104,73.952354,1.778919703
18.54626157,73.95244874,1.829968554
18.54626209,73.95254348,1.871932316
18.54626262,73.95263822,1.876935409
18.54626314,73.95273296,1.878348447
18.54626367,73.95282771,1.902315495
18.54626419,73.95292245,1.896253218
18.54626472,73.95301719,1.893984695
18.54626524,73.95311193,1.892884274
18.54626577,73.95320668,1.887650973
18.54626629,73.95330142,1.874618495
18.54626682,73.95339616,1.872757293
18.54626734,73.9534909,1.867403039
18.54626787,73.95358564,1.865713474
18.54626839,73.95368039,1.867600758
18.54626892,73.95377513,1.861640907
18.54626944,73.95386987,1.865640079
18.54626997,73.95396461,1.871245771
18.54627049,73.95405936,1.849567822
18.54627102,73.9541541,1.798114182
18.54627154,73.95424884,1.724935268
18.54627207,73.95434358,1.69236018
18.54627259,73.95443832,1.695078103
18.54627312,73.95453307,1.720699096
18.54627364,73.95462781,1.735785346
18.54627417,73.95472255,1.743441504
18.54627469,73.95481729,1.752730203
18.54627521,73.95491204,1.76262844
18.54627941,73.95566997,1.76262844
18.54627993,73.95576472,1.76262844
18.54628046,73.95585946,1.76262844
18.54628517,73.95671214,1.759774442
18.54628569,73.95680688,1.775011228
18.54628621,73.95690162,1.771473045
18.54628674,73.95699637,1.767971507
18.54628726,73.95709111,1.766327261
18.54628778,73.95718585,1.769762142
18.54628831,73.95728059,1.784947041
18.54628883,73.95737534,1.764447491
18.54628935,73.95747008,1.771952068
18.54628988,73.95756482,1.790552565
18.5462904,73.95765956,1.798540107
18.54629092,73.9577543,1.775422738
18.54629145,73.95784905,1.7527682
18.54629197,73.95794379,1.752051706
18.54629249,73.95803853,1.765049619
18.54629301,73.95813327,1.771967479
18.54629354,73.95822802,1.792721201
18.54629406,73.95832276,1.797475198
18.54629458,73.9584175,1.820911383
18.5462951,73.95851224,1.821469584
18.54629563,73.95860699,1.821041423
18.54629615,73.95870173,1.80792365
18.54629667,73.95879647,1.824648227
18.54629719,73.95889121,1.815725128
18.54629772,73.95898596,1.809173691
18.54629824,73.9590807,1.762890517
18.54629876,73.95917544,1.748063493
18.54629928,73.95927018,1.767466279
18.54629981,73.95936492,1.780378631
18.54630033,73.95945967,1.764612676
18.54630085,73.95955441,1.749872116
18.54630137,73.95964915,1.762651518
18.54630189,73.95974389,1.760413833
18.54630242,73.95983864,1.76262844
18.54630294,73.95993338,1.76262844
18.54630502,73.96031235,1.76262844
18.54630555,73.96040709,1.76262844
18.54630607,73.96050183,1.76262844
18.54630659,73.96059658,1.76262844
18.54630711,73.96069132,1.76262844
18.54630763,73.96078606,1.76262844
18.54630815,73.9608808,1.76262844
18.54630867,73.96097555,1.76262844
18.5463092,73.96107029,1.76262844
18.5461691,73.95207032,1.833248662
18.54616962,73.95216506,1.797342472
18.54617015,73.9522598,1.76129062
18.54617067,73.95235455,1.758801106
18.5461712,73.95244929,1.77193579
18.54617173,73.95254403,1.807737643
18.54617225,73.95263877,1.837569088
18.54617278,73.95273352,1.846126008
18.5461733,73.95282826,1.858062892
18.54617383,73.952923,1.877001036
18.54617435,73.95301774,1.8829977
18.54617488,73.95311248,1.894811406
18.5461754,73.95320723,1.882877949
18.54617593,73.95330197,1.860677143
18.54617645,73.95339671,1.85876296
18.54617698,73.95349145,1.849423669
18.5461775,73.95358619,1.853828665
18.54617803,73.95368094,1.860948812
18.54617855,73.95377568,1.847249317
18.54617908,73.95387042,1.840083569
18.5461796,73.95396516,1.846293082
18.54618013,73.95405991,1.835707018
