vertex_id,longitude,latitude,altitude
1,73.8553149128707,18.5320337137706,0.0
2,73.8565083294954,18.5314536486182,0.0
3,73.857923776517,18.5305552433003,0.0
4,73.8593741842002,18.5298716425371,0.0
5,73.8611289194779,18.529884205423,0.0
6,73.8611519285039,18.5308827728255,0.0
7,73.8619588176584,18.5318328258702,0.0
8,73.8630950732311,18.5329298850722,0.0
9,73.8636165466915,18.5330325256886,0.0
10,73.8654321441337,18.5328161513899,0.0
11,73.8664101998311,18.5334100193661,0.0
12,73.8668537696807,18.5339417267708,0.0
13,73.8675262959592,18.5347990522929,0.0
14,73.8681229798541,18.535632271279,0.0
15,73.86894306679,18.5368320375059,0.0
16,73.8696382425111,18.5376559345029,0.0
17,73.8712068228177,18.539017715517,0.0
18,73.8741044436099,18.5403114399833,0.0
19,73.8767108216102,18.5411946862802,0.0
20,73.8788770205201,18.5417252471908,0.0
21,73.8811344776982,18.5419826413612,0.0
22,73.8837516781496,18.5421786559472,0.0
23,73.8871464335097,18.542532830739,0.0
24,73.8911088343022,18.5427336247001,0.0
25,73.8955200390549,18.5417415756632,0.0
26,73.8997390487056,18.5408745498424,0.0
27,73.90383889147,18.540487144457,0.0
28,73.9084985934097,18.540411959011,0.0
29,73.9152959691798,18.5387269846434,0.0
30,73.9205785873957,18.5383216391751,0.0
31,73.9247206505158,18.5379296181981,0.0
32,73.9300767270791,18.5362023694908,0.0
33,73.9331851702949,18.5354131514973,0.0
34,73.9358954805008,18.5343972364075,0.0
35,73.9388691510795,18.5350862000361,0.0
36,73.9405545855115,18.5359328051317,0.0
37,73.9419286780321,18.5386136940022,0.0
38,73.9430044353069,18.5410291690671,0.0
39,73.9443977924446,18.5431327332345,0.0
40,73.9462432784417,18.5444897263505,0.0
41,73.9482069314268,18.544578456036,0.0
42,73.951147326308,18.5443424524478,0.0
43,73.9532799685623,18.5450110667221,0.0
44,73.9566786019068,18.5457887230117,0.0
45,73.9594265401725,18.5461706965968,0.0
46,73.9643941749805,18.5431014853766,0.0
47,73.9688620776073,18.5421955857956,0.0
48,73.9729317905892,18.5405310430815,0.0
49,73.9743363781186,18.5369334380297,0.0
50,73.9762160101399,18.5325891709847,0.0
51,73.9790841627004,18.5299590460775,0.0
52,73.98252857792,18.5275252847646,0.0
53,73.9861653140718,18.5253627182663,0.0
54,73.9891117596997,18.5232182265651,0.0
55,73.9904145274723,18.5220333311081,0.0
56,73.9912017315388,18.5207625957267,0.0
57,73.9934396753655,18.5210778262678,0.0
58,73.9934203569626,18.5217326986578,0.0
59,73.9929556545733,18.5228187430571,0.0
60,73.9907809641947,18.5247761897542,0.0
61,73.9894149625757,18.5257439137732,0.0
62,73.9873927007775,18.5269935431763,0.0
63,73.9857904598104,18.5275868836694,0.0
64,73.9849886621586,18.5280463180908,0.0
65,73.9841602439146,18.528707641435,0.0
66,73.9827720573172,18.5293121000708,0.0
